"SYMBOL" "CA81406_BC.11_" "CA81425_.6_XXX" "CA81425_BC.12_" "CA81425_BC.17_" "CA81425_XXXXX" "CA81426_.7_XXX" "CA81426_BC.13_" "CA81426_BC.18_" "CA81426_XXXXX" "CA81426_XXXXX" "CA81428_.8_XXX" "CA81428_BC.1_P" "CA81428_BC.14_" "CA81428_XXXXX" "CA81429_.9_XXX" "CA81429_BC.15_" "CA81429_BC.20_" "CA81429_BC.3_X" "CA81429_XXXXX" "CA81435_BC.16_" "CA81436_BC.21_" "CA81436_XXXXX" "CA81437_XXXXX" "CA81438_BC.23_" "CA81438_XXXXX" "CA81438_XXXXX" "CA81439_BC.22_" "CA81439_XXXXX" "CA81439_XXXX" "CA81440_XXXXX" "CA81637_XXXXX" "CA81637_XXXX" "CA81641_SSo8_f" "CA81647_SSu8_f" "CA81649_ST16_f" "CA81665_SSu16_" "CA81667_XXXXX" "CA81668_SSo16_" "CA81669_SSo16."
"A4GNT" 1476.42636911983 2194.99639574334 1451.07140621358 1876.56790931599 2382.4029569132 1706.95553417395 1632.4876723885 2081.43389095864 2347.3709494935 2267.10121989339 2252.50588527714 2299.90806695928 2858.03804613901 2759.30532592136 2242.93636832901 2592.9475460165 2324.20585311094 2278.935449141 2726.07264387799 2270.7957609674 1966.47612870044 1959.01381646601 1917.83166939344 1497.95866216385 1461.68878111661 1797.28043973909 1409.83234394737 2079.45302198173 1586.37090185931 2445.74314919746 2109.04938268871 2052.66247614057 1840.65779173201 1782.95458432119 1458.60633718819 1835.86018623979 1915.19843144889 1537.13272516476 1746.53061966413
"AADAT" 968.789181213424 1919.23877297788 2038.8821775986 1908.87204200662 1853.21708610796 1912.58262104277 2064.3673603771 1873.53809978511 2048.18509132247 2037.39746832493 1586.37090185931 1595.72252285834 1807.92946929575 1492.34989042547 1687.63691115679 1885.49609478779 1768.50255478222 1690.28890524721 1793.94222077873 1473.70970045563 1434.13135799527 1461.68878111661 2008.5087780313 1295.57041524499 1445.81781898514 1584.07732699915 1402.69023295821 1546.02326557381 2219.02507650779 1610.1453961957 1887.45467591048 1931.75680600952 1803.78242334757 1710.05779673589 1228.02180722887 1441.67407524768 1509.07388227204 1356.85201292108 1721.56813472963
"AANAT" 747.221964457813 1470.98693727794 1375.71247566832 1326.79974302964 1581.21171855143 1413.37258859631 1467.70383561757 1349.65606632275 1553.56828364633 1733.66480202545 1206.25589887788 1165.98016037064 1269.84429801882 1091.82125322159 1274.10572633228 1396.62758135477 1334.3594643992 1303.47524472785 1271.85290361961 1302.76804454685 1225.56980591656 1057.05218928231 1371.8648470631 634.693366081908 914.284640014364 1133.14023130246 1294.01204073012 1181.79741262694 1513.43283030891 895.692176181837 1411.58049349638 1310.58936807207 1466.8565461316 1227.17540514469 774.971754916061 627.583819484482 1028.9815559807 984.749324470921 1215.72978377683
"AARS" 1227.17540514469 1622.84866871561 1720.37197365875 1376.06666618868 1796.27023870436 1619.62104481109 1684.21178865434 1310.58936807207 2008.5087780313 1403.57284029407 1367.35060645951 1390.51743829623 1487.9250050204 1358.7764774427 1483.17869298568 1444.84460880214 1674.16304467914 1529.26881806344 1806.25069146571 1047.01561437209 1536.72588731623 1666.36164880467 1731.40027307457 718.74079716799 967.661268112307 1503.9476797742 1268.57401090376 1175.47754635372 1982.746363083 1225.56980591656 1551.07247477395 1475.54039357265 2136.81886789494 1354.67306371055 879.223466127153 1069.22679180228 1261.78192438532 1219.2837452818 1247.59902848994
"AARS2" 1417.89157107727 1516.47564006718 1426.62739355405 1612.84126208196 1811.45127042512 1527.53295800739 1306.53004639409 1304.82319273788 1710.05779673589 1467.16003282051 1498.64954846928 1501.68342637259 1186.02317673475 1201.77864237415 1540.75825771976 1364.09213569055 1418.21298022418 1635.34475281463 1494.45592863286 1566.99296550929 1395.65011094937 1014.4309549521 1407.46770861269 1115.38618444345 1123.99736141505 2072.40778202026 1193.29408937156 1233.37435963211 1823.78905010373 1724.99772169451 1315.51780666319 1344.14856113351 1342.80691371457 1458.60633718819 877.324811738134 1460.9488733932 1463.14088183196 1561.92073196608 1435.23394744004
"AASDHPPT" 1908.45425473771 945.508117377139 1432.34096406361 1644.48045293896 1400.93759118582 835.798971935965 1782.47436465918 1717.38501459243 662.628256524649 1900.26006730798 1903.01409115162 1963.64007421415 1555.39614591718 1637.5707644862 1318.1802697584 1253.83072476304 1293.64210846947 1291.55596328824 1899.10987637917 2181.28973779719 1214.12458345845 3095.18334116194 1275.37214969506 1328.11753495297 1409.40445160266 7239.38008905226 1511.12518371064 1452.60907012117 2075.5587247155 1666.00906144915 1737.78230279822 1291.55596328824 671.514793081865 928.557203268892 1194.34025619829 1410.07458490558 1505.38073276543 940.431431797092 748.818734646043
"AASS" 461.52988975269 1023.67944115838 1099.02163137032 891.682668643195 1382.8089131682 966.206221961828 842.171295730737 701.01091403285 1229.33938913914 773.527427176725 935.372238945846 1124.50157710187 1132.58468782617 1074.34319394708 998.540288132392 1133.93078659318 1127.86980581355 1059.62265530968 1162.68759171626 707.864386380629 681.006585338624 1318.58164360366 1169.37127770569 603.368233758357 921.560880323135 817.552081081747 2196.12788765205 1555.00062190815 1139.30015055759 454.589084775861 1143.03592466548 1172.00934824685 1220.95506435784 702.813801341696 1196.72921913702 807.860287663236 728.782988411459 1477.46743612519 877.324811738134
"AATK" 1749.83575091616 1777.31130876682 1913.83999261978 1732.48062108462 1746.20975320185 1688.93486732404 1460.33584754491 1245.23637464764 1964.37507524318 1207.69186733852 1570.88385886701 613.066903894837 1430.03149520854 1245.57108240102 1863.42739531956 2249.14663582122 2160.1491135184 1781.27107862374 2150.97010376478 771.551034935246 2161.90794959584 2089.01535030556 564.106395282149 2322.85101053289 10771.7356905232 1468.00887036659 643.9304383733 902.362390832947 1527.17029757077 1331.07385174476 606.054966111587 630.204625132169 1292.11026070941 1451.5981022639 1495.60383373324 1556.19622458404 1470.59036745837 1513.43283030891 1286.77978949492
"ABAT" 1317.37996548608 1472.756680257 1966.47612870044 1832.45405870163 1776.80800799906 1531.34203019158 1460.66462640766 1518.08351232346 1624.54350323218 1886.72685292817 1356.24436291693 1361.67429715818 1518.08351232346 1664.61979314861 1361.00160313567 1546.37475331265 1548.54233275317 1403.27142136814 1706.95553417395 1296.82991275844 1351.80348778993 1532.73905856061 1734.65927509239 1146.72476886872 1354.67306371055 1532.73905856061 2565.78655603926 2114.92216863492 1812.62575348419 1328.44894051615 1633.24046209334 1690.65661477356 1404.70377130959 1328.11753495297 1756.81374839397 1507.09906754278 1523.5741083655 1519.18930131986 1369.39231301922
"ABCB10" 1542.40743002696 630.204625132169 211.963275359687 690.900431779194 198.483398932653 98.6120512197747 346.833987647793 98.6120512197747 854.124215202987 136.374880209205 912.423403346475 733.267562568163 857.004463501829 537.668025112839 1064.26531414755 1176.56953798942 1212.42339630741 887.845653355504 1244.12000984843 1075.34491742174 933.888570164956 910.933912834581 541.065181389201 1865.00360263415 2377.54295279322 1317.37996548608 1006.08482606674 881.157637106106 972.42309844847 859.953236081619 618.120220032134 620.335617306564 71.6219699512285 228.194792952495 1509.87055404623 1129.92802447549 843.182512555002 723.865676109436 109.570098277259
